order_id,promised_delivery_date,actual_delivery_date,delivery_partner,delivery_status
ORD000001,2025-06-15,2025-06-17,Delhivery,Delivered
ORD000003,2026-07-14,2026-07-21,Delhivery,Delivered
ORD000004,2025-05-15,2025-05-15,Ekart,Delivered
ORD000005,2026-04-17,2026-04-19,Shadowfax,Delivered
ORD000006,2026-07-14,2026-07-21,Ekart,Delivered
ORD000007,2026-06-04,2026-06-05,Xpressbees,Delivered
ORD000009,2026-05-13,2026-05-13,Ekart,Delivered
ORD000010,2025-06-20,2025-06-20,Xpressbees,Delivered
ORD000011,2026-08-25,2026-08-25,Ekart,Delivered
ORD000012,2025-12-27,2025-12-30,BlueDart,Delivered
ORD000013,2026-04-20,2026-04-21,Xpressbees,Delivered
ORD000014,2026-03-11,,Shadowfax,In Transit/Lost
ORD000015,2026-08-08,2026-08-08,Delhivery,Delivered
ORD000016,2025-09-25,2025-09-26,Xpressbees,Delivered
ORD000017,2026-05-23,2026-05-24,Ekart,Delivered
ORD000018,2025-09-23,2025-09-24,Ekart,Delivered
ORD000019,2025-10-03,2025-10-04,Shadowfax,Delivered
ORD000020,2026-06-29,2026-06-29,Xpressbees,Delivered
ORD000021,2025-11-11,2025-11-11,Xpressbees,Delivered
ORD000022,2026-07-17,2026-07-19,BlueDart,Delivered
ORD000023,2026-05-17,,Delhivery,In Transit/Lost
ORD000024,2025-10-18,,Delhivery,In Transit/Lost
ORD000027,2025-05-05,2025-05-05,Shadowfax,Delivered
ORD000028,2025-06-13,2025-06-13,Delhivery,Delivered
ORD000030,2025-12-19,2025-12-19,Delhivery,Delivered
ORD000031,2026-06-01,2026-06-08,Xpressbees,Delivered
ORD000033,2026-07-08,,BlueDart,In Transit/Lost
ORD000034,2026-01-13,,BlueDart,In Transit/Lost
ORD000035,2026-08-30,2026-08-30,Ekart,Delivered
ORD000036,2026-05-18,2026-05-21,BlueDart,Delivered
ORD000037,2025-05-11,,Delhivery,In Transit/Lost
ORD000038,2025-05-15,2025-05-15,Delhivery,Delivered
ORD000040,2026-08-11,2026-08-11,BlueDart,Delivered
ORD000041,2025-06-21,2025-06-22,BlueDart,Delivered
ORD000042,2025-08-22,2025-08-22,Xpressbees,Delivered
ORD000043,2025-10-07,2025-10-07,Ekart,Delivered
ORD000044,2025-05-11,2025-05-11,Delhivery,Delivered
ORD000045,2025-06-30,,Ekart,In Transit/Lost
ORD000046,2026-05-13,2026-05-13,Delhivery,Delivered
ORD000047,2025-08-11,2025-08-11,Ekart,Delivered
ORD000048,2025-12-04,2025-12-05,Ekart,Delivered
ORD000049,2025-08-09,,Delhivery,In Transit/Lost
ORD000051,2026-03-11,2026-03-11,Shadowfax,Delivered
ORD000052,2025-06-09,2025-06-09,Shadowfax,Delivered
ORD000053,2025-05-29,2025-05-29,BlueDart,Delivered
ORD000054,2026-01-27,2026-01-27,Xpressbees,Delivered
ORD000055,2025-04-14,2025-04-14,Delhivery,Delivered
ORD000056,2026-07-02,2026-07-09,Delhivery,Delivered
ORD000057,2025-10-26,2025-10-27,Ekart,Delivered
ORD000058,2026-06-28,,Delhivery,In Transit/Lost
ORD000059,2026-08-01,2026-08-02,Delhivery,Delivered
