date,channel,spend,impressions,clicks
2025-03-22,Instagram Ads,4227.42,16970,2530
2025-03-22,Google Ads,11672.81,3276,1078
2025-03-22,Referral,14832.61,20441,2948
2025-03-22,Organic Search,14950.52,42710,2770
2025-03-22,Influencer,4861.47,47175,2916
2025-03-22,Email,8667.81,10182,2861
2025-03-23,Instagram Ads,753.66,25381,1196
2025-03-23,Google Ads,5142.55,18719,2518
2025-03-23,Referral,1759.52,35491,913
2025-03-23,Organic Search,1549.19,7415,1904
2025-03-23,Influencer,13387.31,38376,1216
2025-03-23,Email,13971.65,39251,1253
2025-03-24,Instagram Ads,13603.48,9609,802
2025-03-24,Google Ads,12675.1,16505,626
2025-03-24,Referral,9548.57,38572,1422
2025-03-24,Organic Search,10174.39,31084,1262
2025-03-24,Influencer,2751.62,40299,1730
2025-03-24,Email,11250.62,1230,1189
2025-03-25,Instagram Ads,9419.35,22022,2698
2025-03-25,Google Ads,5445.67,38196,1295
2025-03-25,Referral,14600.37,35829,2721
2025-03-25,Organic Search,10272.66,47541,1217
2025-03-25,Influencer,1473.66,29460,857
2025-03-25,Email,8421.81,12041,2123
2025-03-26,Instagram Ads,10219.73,5161,104
2025-03-26,Google Ads,14963.99,23047,2998
2025-03-26,Referral,12630.02,11538,1474
2025-03-26,Organic Search,1983.21,7861,542
2025-03-26,Influencer,13130.11,34026,2471
2025-03-26,Email,11053.73,19503,1611
2025-03-27,Instagram Ads,2808.93,7900,392
2025-03-27,Google Ads,6793.96,25641,1562
2025-03-27,Referral,12517.53,25172,1648
2025-03-27,Organic Search,3729.98,42216,1794
2025-03-27,Influencer,13083.49,1030,248
2025-03-27,Email,14055.37,20359,2831
2025-03-28,Instagram Ads,12281.7,14271,1359
2025-03-28,Google Ads,8923.94,3656,372
2025-03-28,Referral,5551.91,20354,102
2025-03-28,Organic Search,7147.53,42259,1545
2025-03-28,Influencer,12636.62,22595,2991
2025-03-28,Email,6348.24,19724,425
2025-03-29,Instagram Ads,4337.24,26552,1864
2025-03-29,Google Ads,14964.31,23295,2585
2025-03-29,Referral,14347.27,10538,2876
2025-03-29,Organic Search,7814.36,48310,2833
2025-03-29,Influencer,12593.37,26106,658
2025-03-29,Email,5843.94,32101,1922
2025-03-30,Instagram Ads,4299.72,7649,2739
2025-03-30,Google Ads,6198.91,28744,1540
2025-03-30,Referral,6534.48,26774,1342
2025-03-30,Organic Search,13578.77,27345,1319
2025-03-30,Influencer,697.71,14934,1047
2025-03-30,Email,6051.21,23302,2133
2025-03-31,Instagram Ads,6184.44,30334,524
2025-03-31,Google Ads,1721.38,28684,2386
2025-03-31,Referral,12442.25,31119,2387
2025-03-31,Organic Search,6157.09,15776,2572
2025-03-31,Influencer,13337.87,13037,1199
2025-03-31,Email,13427.42,43112,1715
2025-04-01,Instagram Ads,13973.24,15850,1324
2025-04-01,Google Ads,4609.05,28727,2510
2025-04-01,Referral,13803.24,33980,1342
2025-04-01,Organic Search,1710.77,28234,810
2025-04-01,Influencer,10841.61,14513,2084
2025-04-01,Email,9178.12,19640,1868
2025-04-02,Instagram Ads,6986.4,19985,333
2025-04-02,Google Ads,7746.31,15143,964
2025-04-02,Referral,10642.41,28178,278
2025-04-02,Organic Search,2178.7,31787,2252
2025-04-02,Influencer,14175.03,32317,1619
2025-04-02,Email,11701.31,3957,1556
2025-04-03,Instagram Ads,3613.43,49923,1421
2025-04-03,Google Ads,1029.9,22510,2293
2025-04-03,Referral,12674.23,7541,1803
2025-04-03,Organic Search,10250.81,44464,2767
2025-04-03,Influencer,5756.89,21273,2552
2025-04-03,Email,10954.26,36398,2620
2025-04-04,Instagram Ads,13706.1,4629,2620
2025-04-04,Google Ads,10328.53,8149,2144
2025-04-04,Referral,12767.84,26039,1285
2025-04-04,Organic Search,8536.25,33375,1591
2025-04-04,Influencer,590.18,35276,2788
2025-04-04,Email,14377.13,30609,1652
2025-04-05,Instagram Ads,4935.25,2680,884
2025-04-05,Google Ads,12853.33,14284,2758
2025-04-05,Referral,2949.71,19553,583
2025-04-05,Organic Search,8291.65,29248,1707
2025-04-05,Influencer,3089.54,33723,453
2025-04-05,Email,13776.89,42115,630
2025-04-06,Instagram Ads,1764.17,15661,1729
2025-04-06,Google Ads,6115.58,23061,1832
2025-04-06,Referral,6572.26,16182,2537
2025-04-06,Organic Search,1310.16,45581,231
2025-04-06,Influencer,14006.63,11404,2089
2025-04-06,Email,10368.76,11688,2779
2025-04-07,Instagram Ads,3331.4,25475,2968
2025-04-07,Google Ads,6971.12,5926,1110
2025-04-07,Referral,7163.29,29343,1734
2025-04-07,Organic Search,5613.19,49713,1973
2025-04-07,Influencer,9616.52,28307,1095
2025-04-07,Email,906.22,11251,696
2025-04-08,Instagram Ads,6226.85,47751,2750
2025-04-08,Google Ads,11244.93,9334,851
2025-04-08,Referral,4203.28,39150,2939
2025-04-08,Organic Search,4200.05,23239,1887
2025-04-08,Influencer,3027.27,46162,1125
2025-04-08,Email,9122.54,6724,1915
2025-04-09,Instagram Ads,6742.0,36259,2990
2025-04-09,Google Ads,13671.63,28701,444
2025-04-09,Referral,4868.17,35426,2656
2025-04-09,Organic Search,1559.89,38898,2488
2025-04-09,Influencer,13620.13,23295,2693
2025-04-09,Email,7435.66,5653,2351
2025-04-10,Instagram Ads,4041.72,35037,2662
2025-04-10,Google Ads,11535.51,33185,101
2025-04-10,Referral,3705.83,16663,524
2025-04-10,Organic Search,5585.38,28376,2029
2025-04-10,Influencer,637.18,13666,1067
2025-04-10,Email,9886.9,44876,214
2025-04-11,Instagram Ads,8225.53,22508,404
2025-04-11,Google Ads,9191.04,14058,2274
2025-04-11,Referral,10314.2,4768,1677
2025-04-11,Organic Search,8745.46,46201,798
2025-04-11,Influencer,4960.0,41490,2292
2025-04-11,Email,14278.38,24859,1756
2025-04-12,Instagram Ads,11247.86,6666,310
2025-04-12,Google Ads,1122.22,13733,105
2025-04-12,Referral,14185.13,39555,1855
2025-04-12,Organic Search,13183.23,35597,1626
2025-04-12,Influencer,3587.19,46396,2736
2025-04-12,Email,11577.53,17945,275
2025-04-13,Instagram Ads,12200.05,18559,450
2025-04-13,Google Ads,14010.43,5874,1672
2025-04-13,Referral,6383.63,43094,2815
2025-04-13,Organic Search,1916.6,1234,1677
2025-04-13,Influencer,3413.93,19618,2205
2025-04-13,Email,5566.98,38579,1767
2025-04-14,Instagram Ads,1778.17,1843,1240
2025-04-14,Google Ads,11883.56,2301,2159
2025-04-14,Referral,8647.64,1399,1338
2025-04-14,Organic Search,12753.26,32357,1123
2025-04-14,Influencer,14934.42,45560,2436
2025-04-14,Email,8080.35,47633,2035
2025-04-15,Instagram Ads,5723.17,47426,1086
2025-04-15,Google Ads,11839.34,4505,743
2025-04-15,Referral,4851.57,39658,1048
2025-04-15,Organic Search,7774.59,5367,932
2025-04-15,Influencer,8307.71,40214,632
2025-04-15,Email,7147.64,46118,991
2025-04-16,Instagram Ads,5405.72,19433,1127
2025-04-16,Google Ads,10450.96,23062,2267
2025-04-16,Referral,13629.36,41475,145
2025-04-16,Organic Search,5457.89,49142,1842
2025-04-16,Influencer,13648.92,14254,2720
2025-04-16,Email,1401.66,9179,2472
2025-04-17,Instagram Ads,11325.82,22127,591
2025-04-17,Google Ads,6239.28,19169,2917
2025-04-17,Referral,5612.19,45535,1873
2025-04-17,Organic Search,9781.2,12169,1258
2025-04-17,Influencer,5832.59,42950,1695
2025-04-17,Email,6656.71,29479,927
2025-04-18,Instagram Ads,1181.51,8242,616
2025-04-18,Google Ads,7994.6,6491,1734
2025-04-18,Referral,3333.33,29695,2578
2025-04-18,Organic Search,8988.06,15980,415
2025-04-18,Influencer,14614.72,16882,856
2025-04-18,Email,11435.71,14019,2343
2025-04-19,Instagram Ads,12600.92,26951,2306
2025-04-19,Google Ads,9624.51,26852,2389
2025-04-19,Referral,11579.14,22851,1882
2025-04-19,Organic Search,1074.92,48764,2641
2025-04-19,Influencer,13546.69,8503,1398
2025-04-19,Email,10311.63,47236,1042
2025-04-20,Instagram Ads,4421.81,8829,1804
2025-04-20,Google Ads,2726.67,12613,873
2025-04-20,Referral,11040.56,27549,804
2025-04-20,Organic Search,2294.62,16638,1122
2025-04-20,Influencer,12315.6,16682,1564
2025-04-20,Email,14400.33,6795,758
2025-04-21,Instagram Ads,740.47,22148,2046
2025-04-21,Google Ads,4996.39,9439,332
2025-04-21,Referral,3678.42,36048,1790
2025-04-21,Organic Search,537.78,34044,815
2025-04-21,Influencer,8195.99,30545,595
2025-04-21,Email,11925.8,44496,2143
2025-04-22,Instagram Ads,7011.16,10307,1083
2025-04-22,Google Ads,5865.68,21293,2866
2025-04-22,Referral,5246.42,16287,538
2025-04-22,Organic Search,10297.03,4283,1976
2025-04-22,Influencer,6275.35,39308,2924
2025-04-22,Email,1306.93,2946,111
2025-04-23,Instagram Ads,11602.04,45139,2414
2025-04-23,Google Ads,6091.69,36988,2401
2025-04-23,Referral,6824.32,21055,1130
2025-04-23,Organic Search,3803.46,22161,2450
2025-04-23,Influencer,11643.07,19203,1540
2025-04-23,Email,14319.59,33296,340
2025-04-24,Instagram Ads,6394.14,45098,512
2025-04-24,Google Ads,14133.32,24768,2713
2025-04-24,Referral,9825.27,28898,896
2025-04-24,Organic Search,4065.33,2237,1720
2025-04-24,Influencer,10344.01,6315,120
2025-04-24,Email,11380.08,45080,372
2025-04-25,Instagram Ads,12738.06,45904,720
2025-04-25,Google Ads,3589.26,12784,827
2025-04-25,Referral,812.23,27153,2085
2025-04-25,Organic Search,2813.29,34013,1209
2025-04-25,Influencer,6897.02,3573,2272
2025-04-25,Email,1752.13,39970,223
2025-04-26,Instagram Ads,3367.03,2877,898
2025-04-26,Google Ads,11006.09,18814,574
2025-04-26,Referral,1136.23,10555,2129
2025-04-26,Organic Search,10926.84,23506,2209
2025-04-26,Influencer,11314.48,18993,609
2025-04-26,Email,4731.88,37338,1402
2025-04-27,Instagram Ads,12299.09,7533,2624
2025-04-27,Google Ads,1612.99,29233,2202
2025-04-27,Referral,10933.68,49144,962
2025-04-27,Organic Search,8978.47,5781,317
2025-04-27,Influencer,13217.61,17146,2643
2025-04-27,Email,5973.3,37071,1467
2025-04-28,Instagram Ads,8157.39,16316,844
2025-04-28,Google Ads,14605.34,49713,2840
2025-04-28,Referral,14649.4,26343,1600
2025-04-28,Organic Search,14081.27,32619,1805
2025-04-28,Influencer,14016.38,27163,2224
2025-04-28,Email,2366.23,14614,273
2025-04-29,Instagram Ads,14893.35,49486,2049
2025-04-29,Google Ads,3527.14,1958,1033
2025-04-29,Referral,13558.82,30686,2073
2025-04-29,Organic Search,4714.21,29345,1150
2025-04-29,Influencer,3867.01,44494,1449
2025-04-29,Email,744.47,34961,734
2025-04-30,Instagram Ads,5894.25,30554,175
2025-04-30,Google Ads,4595.92,49166,1430
2025-04-30,Referral,11821.04,17627,720
2025-04-30,Organic Search,8591.08,25066,2645
2025-04-30,Influencer,7922.19,32416,2625
2025-04-30,Email,4183.04,7388,242
2025-05-01,Instagram Ads,8930.41,16296,2277
2025-05-01,Google Ads,1149.57,19448,2860
2025-05-01,Referral,11895.6,39696,2706
2025-05-01,Organic Search,11054.18,49819,2142
2025-05-01,Influencer,9055.95,16229,77
2025-05-01,Email,13218.96,35146,1793
2025-05-02,Instagram Ads,12425.68,36107,167
2025-05-02,Google Ads,11687.32,31719,1555
2025-05-02,Referral,11964.38,15424,2399
2025-05-02,Organic Search,3825.38,47081,2466
2025-05-02,Influencer,8510.67,24638,1589
2025-05-02,Email,7045.82,28766,86
2025-05-03,Instagram Ads,14374.59,47151,1082
2025-05-03,Google Ads,3129.97,3609,2466
2025-05-03,Referral,7964.2,40471,1734
2025-05-03,Organic Search,11378.26,22989,1244
2025-05-03,Influencer,11180.73,35442,2624
2025-05-03,Email,8979.35,20648,2638
2025-05-04,Instagram Ads,3357.59,15169,2154
2025-05-04,Google Ads,9857.57,1543,1553
2025-05-04,Referral,3647.92,27934,997
2025-05-04,Organic Search,4150.74,42320,375
2025-05-04,Influencer,14069.31,46137,1636
2025-05-04,Email,7683.41,3668,1105
2025-05-05,Instagram Ads,11820.07,30101,2720
2025-05-05,Google Ads,10146.17,37313,303
2025-05-05,Referral,5498.36,45904,2927
2025-05-05,Organic Search,4995.46,23808,587
2025-05-05,Influencer,8993.29,25290,2158
2025-05-05,Email,3202.58,18175,2427
2025-05-06,Instagram Ads,2059.5,36807,77
2025-05-06,Google Ads,8597.26,17967,1386
2025-05-06,Referral,8791.29,7338,2715
