order_id,customer_id,order_date,product_id,quantity,order_value,payment_method,order_status
ORD000001,CUST01008,2025-06-10,PRD001,1,2423.11,Net Banking,Delivered
ORD000002,CUST00854,2025-11-26,PRD011,1,9169.72,Debit Card,Cancelled
ORD000003,CUST00382,2026-07-12,PRD012,1,1376.38,UPI,Delivered
ORD000004,CUST00923,2025-05-10,PRD010,1,1810.89,Credit Card,Delivered
ORD000005,CUST00393,2026-04-12,PRD005,2,3566.69,UPI,Delivered
ORD000006,CUST00341,2026-07-11,PRD002,1,13686.11,UPI,Delivered
ORD000007,CUST00701,2026-05-31,PRD001,2,4740.7,UPI,Delivered
ORD000008,CUST00020,2026-03-09,PRD001,1,2250.91,Net Banking,Cancelled
ORD000009,CUST00086,2026-05-10,PRD002,1,13509.99,Net Banking,Delivered
ORD000010,CUST01066,2025-06-15,PRD005,2,3359.46,COD,Delivered
ORD000011,CUST00690,2026-08-23,PRD006,3,3896.78,Credit Card,Returned
ORD000012,CUST00740,2025-12-24,PRD011,2,18112.67,Debit Card,Delivered
ORD000013,CUST00677,2026-04-18,PRD002,1,14546.49,Credit Card,Delivered
ORD000014,CUST00053,2026-03-07,PRD010,1,1854.97,Credit Card,Returned
ORD000015,CUST00755,2026-08-05,PRD008,2,5919.94,Net Banking,Delivered
ORD000016,CUST00847,2025-09-21,PRD011,1,9637.11,Debit Card,Delivered
ORD000017,CUST00035,2026-05-19,PRD011,1,9968.6,Debit Card,Returned
ORD000018,CUST00910,2025-09-20,PRD004,2,6815.5,UPI,Delivered
ORD000019,CUST00714,2025-10-01,PRD007,2,1969.45,UPI,Delivered
ORD000020,CUST00789,2026-06-26,PRD005,2,3289.71,Net Banking,Delivered
ORD000021,CUST01172,2025-11-08,PRD012,2,2847.48,UPI,Delivered
ORD000022,CUST00618,2026-07-14,PRD011,2,18931.71,COD,Delivered
ORD000023,CUST00237,2026-05-13,PRD008,3,8316.25,Credit Card,Delivered
ORD000024,CUST00184,2025-10-16,PRD002,2,27085.86,Debit Card,Delivered
ORD000025,CUST00786,2025-07-11,PRD005,1,1738.9,UPI,Cancelled
ORD000026,CUST00279,2026-02-13,PRD009,3,68175.59,Debit Card,Cancelled
ORD000027,CUST00459,2025-04-30,PRD010,2,3735.42,COD,Delivered
ORD000028,CUST01151,2025-06-11,PRD007,1,910.66,UPI,Delivered
ORD000029,CUST00229,2026-02-23,PRD002,1,14904.82,UPI,Cancelled
ORD000030,CUST01174,2025-12-14,PRD006,1,1293.03,Net Banking,Returned
ORD000031,CUST00004,2026-05-29,PRD005,1,1653.26,COD,Delivered
ORD000032,CUST00868,2025-06-06,PRD006,1,1290.42,Credit Card,Cancelled
ORD000033,CUST01065,2026-07-04,PRD011,2,18211.35,UPI,Delivered
ORD000034,CUST01103,2026-01-10,PRD008,1,2981.87,Credit Card,Delivered
ORD000035,CUST01024,2026-08-26,PRD011,2,18564.93,UPI,Delivered
ORD000036,CUST00656,2026-05-16,PRD005,2,3282.62,Net Banking,Delivered
ORD000037,CUST00980,2025-05-07,PRD011,1,9703.17,COD,Delivered
ORD000038,CUST00121,2025-05-10,PRD006,1,1196.46,Credit Card,Returned
ORD000039,CUST00108,2025-09-06,PRD003,2,79970.42,Credit Card,Cancelled
ORD000040,CUST00045,2026-08-07,PRD009,2,,Debit Card,Delivered
ORD000041,CUST00802,2025-06-16,PRD007,1,927.38,Credit Card,Delivered
ORD000042,CUST01123,2025-08-19,PRD007,1,974.25,Net Banking,Delivered
ORD000043,CUST00111,2025-10-03,PRD012,1,1373.64,Credit Card,Delivered
ORD000044,CUST00905,2025-05-08,PRD012,2,2741.62,Credit Card,Delivered
ORD000045,CUST00401,2025-06-25,PRD012,3,4373.76,Net Banking,Delivered
ORD000046,CUST00209,2026-05-11,PRD011,1,9981.7,Credit Card,Delivered
ORD000047,CUST00116,2025-08-07,PRD002,1,13768.53,UPI,Delivered
ORD000048,CUST00241,2025-12-01,PRD009,3,70750.83,Credit Card,Delivered
ORD000049,CUST00828,2025-08-06,PRD004,1,3287.89,Debit Card,Delivered
ORD000050,CUST00430,2026-07-07,PRD003,3,126105.53,UPI,Cancelled
ORD000051,CUST00950,2026-03-07,PRD011,2,19304.46,Debit Card,Delivered
ORD000052,CUST00024,2025-06-04,PRD002,1,14232.88,Net Banking,Delivered
ORD000053,CUST00461,2025-05-26,PRD001,2,4784.4,Debit Card,Delivered
ORD000054,CUST00194,2026-01-22,PRD010,1,1998.99,COD,Delivered
ORD000055,CUST00612,2025-04-11,PRD010,1,1811.79,Net Banking,Delivered
