ticket_id,customer_id,order_id,issue_type,ticket_date,resolution_time_hours,satisfaction_score
TCK00001,CUST00698,ORD001298,Missing Item,29-03-2025,45.1,3
TCK00002,CUST01062,ORD002342,Refund Request,08-06-2025,45.2,1
TCK00003,CUST00295,ORD003752,Refund Request,02-05-2026,27.7,1
TCK00004,CUST00438,ORD002696,Wrong Item,22-11-2025,23.8,4
TCK00005,CUST00708,ORD004310,Product Query,13-04-2025,93.7,2
TCK00006,CUST00091,ORD001028,Product Query,18-04-2025,81.4,2
TCK00007,CUST00088,ORD005718,Late Delivery,25-08-2025,83.2,3
TCK00008,CUST00818,ORD001763,Wrong Item,25-06-2025,23,3
TCK00009,CUST00284,ORD000353,Damaged Product,17-07-2025,39.6,5
TCK00010,CUST00179,ORD001497,Late Delivery,12-08-2025,21.5,5
TCK00011,CUST00127,ORD005053,Wrong Item,22-07-2025,57.1,2
TCK00012,CUST00785,ORD005279,Missing Item,22-04-2025,79.7,5
TCK00013,CUST00666,ORD002319,Refund Request,31-07-2025,3.5,
TCK00014,CUST00956,ORD005381,Wrong Item,24-04-2025,83.9,2
TCK00015,CUST00774,ORD000235,Product Query,25-03-2025,67.8,2
TCK00016,CUST00125,ORD003652,Product Query,12-01-2026,11.4,2
TCK00017,CUST00643,ORD000722,Product Query,03-05-2025,29.1,
TCK00018,CUST00775,ORD001963,Missing Item,30-08-2025,48.7,
TCK00019,CUST01170,ORD004873,Refund Request,01-12-2025,27.5,3
TCK00020,CUST00248,ORD003352,Late Delivery,12-06-2026,40.9,
TCK00021,CUST00741,ORD003291,Missing Item,30-12-2025,77.5,2
TCK00022,CUST00631,ORD004516,Missing Item,27-05-2026,12.6,
TCK00023,CUST00417,ORD001810,Product Query,30-03-2025,40.1,4
TCK00024,CUST00628,ORD001288,Late Delivery,22-08-2025,56.3,4
TCK00025,CUST01129,ORD002239,Product Query,13-08-2026,79.5,3
TCK00026,CUST00422,ORD004499,Product Query,07-08-2026,11.8,
TCK00027,CUST00895,ORD005489,Wrong Item,23-04-2025,58.6,4
TCK00028,CUST00890,ORD002728,Late Delivery,31-10-2025,31.6,3
TCK00029,CUST00263,ORD003504,Product Query,03-11-2025,80.3,2
TCK00030,CUST00348,ORD002368,Refund Request,28-03-2025,48.1,5
TCK00031,CUST00317,ORD004918,Missing Item,02-07-2025,70.1,5
TCK00032,CUST00912,ORD003560,Damaged Product,06-07-2026,91.4,1
TCK00033,CUST00340,ORD005022,Product Query,18-12-2025,72.2,3
TCK00034,CUST00787,ORD000384,Damaged Product,07-11-2025,79.7,2
TCK00035,CUST00244,ORD001451,Refund Request,12-10-2025,29.3,
TCK00036,CUST00305,ORD005357,Refund Request,20-07-2025,45.7,5
TCK00037,CUST00025,ORD002771,Damaged Product,29-05-2025,12.3,5
TCK00038,CUST01045,ORD002589,Late Delivery,31-12-2025,83,1
TCK00039,CUST00955,ORD004004,Missing Item,24-03-2025,74.5,3
TCK00040,CUST00367,ORD000437,Refund Request,13-10-2025,75,1
TCK00041,CUST00224,ORD001053,Product Query,28-05-2025,17.8,2
TCK00042,CUST00038,ORD003612,Damaged Product,21-01-2026,66,4
TCK00043,CUST00683,ORD000172,Damaged Product,02-11-2025,45.8,2
TCK00044,CUST00037,ORD005680,Late Delivery,31-12-2025,49.6,5
TCK00045,CUST01052,ORD001444,Wrong Item,22-03-2025,65.9,5
TCK00046,CUST00838,ORD003547,Late Delivery,13-06-2025,66.3,
TCK00047,CUST00141,ORD004768,Wrong Item,03-04-2025,91.5,1
TCK00048,CUST01112,ORD005980,Missing Item,19-07-2025,77.6,1
TCK00049,CUST00616,ORD000912,Late Delivery,21-06-2026,35.3,5
TCK00050,CUST00874,ORD005920,Damaged Product,26-07-2026,93.8,5
TCK00051,CUST00972,ORD001217,Product Query,13-09-2025,54.7,1
TCK00052,CUST00656,ORD002387,Wrong Item,14-03-2026,11.4,
TCK00053,CUST00830,ORD003597,Refund Request,16-11-2025,86.8,
TCK00054,CUST00162,ORD002202,Late Delivery,27-10-2025,78,3
TCK00055,CUST00676,ORD003524,Refund Request,03-03-2026,72.3,
TCK00056,CUST00409,ORD000946,Wrong Item,13-12-2025,38.2,1
TCK00057,CUST00134,ORD003363,Product Query,04-11-2025,21.7,4
TCK00058,CUST00200,ORD001588,Damaged Product,29-08-2026,29.8,1
TCK00059,CUST00437,ORD002369,Missing Item,14-08-2026,16.6,4
TCK00060,CUST00670,ORD000604,Damaged Product,01-09-2025,63.3,2
TCK00061,CUST00896,ORD005816,Late Delivery,30-07-2025,3.1,5
TCK00062,CUST01109,ORD001504,Wrong Item,18-06-2025,11.5,2
TCK00063,CUST00302,ORD004453,Damaged Product,06-09-2025,89.1,2
TCK00064,CUST00801,ORD005264,Late Delivery,30-03-2025,49.9,2
TCK00065,CUST00236,ORD003824,Product Query,22-08-2026,60.8,4
TCK00066,CUST00442,ORD002013,Product Query,21-08-2025,63.8,1
TCK00067,CUST00408,ORD005520,Product Query,20-07-2026,76.4,
TCK00068,CUST00419,ORD004681,Refund Request,24-01-2026,61.2,
TCK00069,CUST01008,ORD003147,Late Delivery,18-02-2026,36.6,3
TCK00070,CUST00995,ORD004511,Damaged Product,03-12-2025,35.8,5
TCK00071,CUST00953,ORD001232,Product Query,21-12-2025,45.3,2
TCK00072,CUST00209,ORD005913,Late Delivery,14-01-2026,57.6,5
TCK00073,CUST00843,ORD003285,Missing Item,07-04-2026,60.3,5
TCK00074,CUST01135,ORD001586,Late Delivery,18-05-2025,74.7,3
TCK00075,CUST00184,ORD002374,Wrong Item,15-05-2026,81.7,5
TCK00076,CUST00605,ORD002659,Wrong Item,31-08-2025,59.1,4
TCK00077,CUST00253,ORD001574,Damaged Product,10-05-2025,18.3,
TCK00078,CUST00359,ORD005493,Product Query,16-04-2026,76.4,3
TCK00079,CUST00435,ORD004380,Late Delivery,29-05-2026,54.2,3
TCK00080,CUST00188,ORD003465,Late Delivery,20-07-2025,81,2
TCK00081,CUST00340,ORD002599,Wrong Item,25-01-2026,80.9,3
TCK00082,CUST00146,ORD005040,Late Delivery,22-05-2026,70.2,5
TCK00083,CUST00656,ORD000221,Missing Item,24-08-2025,87,2
TCK00084,CUST01152,ORD000135,Product Query,02-11-2025,11.5,5
TCK00085,CUST00515,ORD001684,Product Query,16-01-2026,63.4,
TCK00086,CUST00625,ORD002044,Product Query,01-12-2025,39.2,2
TCK00087,CUST00777,ORD001669,Wrong Item,11-06-2026,62.9,
TCK00088,CUST00855,ORD005370,Missing Item,12-01-2026,23.4,1
TCK00089,CUST00173,ORD000313,Missing Item,20-08-2025,41.7,2
TCK00090,CUST00744,ORD001748,Wrong Item,21-05-2026,20.6,1
TCK00091,CUST01025,ORD005282,Missing Item,02-07-2025,8.1,1
TCK00092,CUST00565,ORD002526,Product Query,17-12-2025,93.6,
TCK00093,CUST00732,ORD004014,Late Delivery,19-08-2025,92.8,3
TCK00094,CUST00998,ORD000342,Refund Request,25-04-2026,76.5,2
TCK00095,CUST01059,ORD000679,Wrong Item,08-09-2026,57.6,3
TCK00096,CUST00824,ORD003799,Missing Item,25-02-2026,79.9,4
TCK00097,CUST00268,ORD001857,Refund Request,02-03-2026,13,3
TCK00098,CUST00562,ORD002464,Missing Item,25-04-2025,41.2,4
TCK00099,CUST00818,ORD003541,Late Delivery,30-03-2026,76.6,
